34,settings.base.prepopulate,base,prepopulate,1,In Production, prepopulate = 0 (to save 1x DAL hit every page)
37,settings.base.theme,base,theme,"default",Theme (folder to use for views/layout.html)
40,settings.base.guided_tour,base,guided_tour,True,Enable Guided Tours
46,settings.security.self_registration,security,self_registration,False,Should users be allowed to register themselves?
48,settings.auth.registration_requires_verification,auth,registration_requires_verification,True,Do new users need to verify their email address?
50,settings.auth.registration_requires_approval,auth,registration_requires_approval,True,Do new users need to be approved by an administrator prior to being able to login?
53,settings.auth.registration_link_user_to,auth,registration_link_user_to,{"staff":T("Staff");"volunteer":T("Volunteer");"member":T("Member")},Allow a new user to be linked to a record (and a new record will be created if it doesn't already exist)
58,settings.auth.always_notify_approver,auth,always_notify_approver,False,Always notify the approver of a new (verified) user, even if the user is automatically approved
61,settings.auth.opt_in_team_list,auth,opt_in_team_list,["Updates"],The name of the teams that users are added to when they opt-in to receive alerts
63,settings.auth.opt_in_default,auth,opt_in_default,True,Uncomment this to set the opt in default to True
65,settings.auth.registration_requests_home_phone,auth,registration_requests_home_phone,True,Uncomment this to request the Home Phone when a user registers
67,settings.auth.registration_requests_mobile_phone,auth,registration_requests_mobile_phone,True,Uncomment this to request the Mobile Phone when a user registers
69,settings.auth.registration_mobile_phone_mandatory,auth,registration_mobile_phone_mandatory,True,Uncomment this to have the Mobile Phone selection during registration be mandatory
71,settings.auth.registration_requests_organisation,auth,registration_requests_organisation,True,Uncomment this to request the Organisation when a user registers
73,settings.auth.registration_organisation_required,auth,registration_organisation_required,True,Uncomment this to have the Organisation selection during registration be mandatory
75,settings.auth.registration_organisation_hidden,auth,registration_organisation_hidden,True,Uncomment this to have the Organisation input hidden unless the user enters a non-whitelisted domain
77,settings.auth.registration_organisation_default,auth,registration_organisation_default,"My Organisation",Uncomment this to default the Organisation during registration
79,settings.auth.registration_requests_organisation_group,auth,registration_requests_organisation_group,True,Uncomment this to request the Organisation Group when a user registers
81,settings.auth.registration_organisation_group_required,auth,registration_organisation_group_required,True,Uncomment this to have the Organisation Group selection during registration be mandatory
83,settings.auth.registration_requests_site,auth,registration_requests_site,True,Uncomment this to request the Site when a user registers
85,settings.auth.admin_sees_organisation,auth,admin_sees_organisation,True,Uncomment this to allow Admin to see Organisations in User Admin even if the Registration doesn't request this
87,settings.auth.show_utc_offset,auth,show_utc_offset,False,Uncomment to hide the UTC Offset in Registration/Profile
92,settings.auth.registration_roles,auth,registration_roles,{ 0: ["STAFF", "PROJECT_EDIT"]},The keys "organisation_id" and "site_id" can be used to indicate the user's "organisation_id" and "site_id"
94,settings.auth.realm_entity_types,auth,realm_entity_types,("org_organisation",),Define which entity types to use as realm entities in role manager
96,settings.auth.entity_role_manager,auth,entity_role_manager,True,Uncomment to activate entity role manager tabs for OrgAdmins
98,settings.auth.role_modules,auth,role_modules,OrderedDict([]),Define modules for entity role manager
100,settings.auth.access_levels,auth,access_levels,OrderedDict([]),Define access levels for entity role manager
102,settings.auth.record_approval,auth,record_approval,True,Uncomment this to enable record approval
104,settings.auth.record_approval_required_for,auth,record_approval_required_for,("org_organisation",),Uncomment this and specify a list of tablenames for which record approval is required
106,settings.auth.registration_requests_image,auth,registration_requests_image,True,Uncomment this to request an image when users register
110,settings.auth.registration_volunteer,auth,registration_volunteer,True,@ToDo: Extend to all optional Profile settings: Homepage, Twitter, Facebook, Mobile Phone, Image
113,settings.auth.terms_of_service,auth,terms_of_service,True,uses <template>/views/tos.html
115,settings.auth.gmail_domains,auth,gmail_domains,["gmail.com"],Uncomment this to allow users to Login using Gmail's SMTP
117,settings.auth.openid,auth,openid,True,Uncomment this to allow users to Login using OpenID
119,settings.auth.set_presence_on_login,auth,set_presence_on_login,True,Uncomment this to enable presence records on login based on HTML5 geolocations
121,settings.auth.ignore_levels_for_presence,auth,ignore_levels_for_presence,("L0", "L1", "L2", "L3"),Uncomment this and specify a list of location levels to be ignored by presence records
